"NIK","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","golongan_darah","alamat","agama","status_perkawinan","pekerjaan","kewarganegaraan"
"3273041304001969","Kllie Smitham","Balistreriview","2000-04-12","Laki-laki","O","765 The Ridings","Kong Hu Cu","Menikah","Chief Identity Facilitator","Indonesia"
"3273045305598104","Santago Kozey","West Makennaville","1959-05-12","Perempuan","B","998 Clarendon Road","Kristen","Menikah","Senior Web Officer","Indonesia"
"3273040207871887","Tr4c1 Str0m4n","Elvisside","1987-07-02","Laki-laki","A","111 Front Street","Hindu","Cerai","Lead Security Developer","Indonesia"
"3273043011012986","Mr. T0BY kr4JCK","Kovacekbury","2001-11-30","Laki-laki","O","8528 Kip Pines","Katolik","Belum Menikah","Product Factors Coordinator","Indonesia"
"3273040305596761","J0 mCCllUGH","Schummworth","1959-05-03","Laki-laki","AB","58088 Hudson Parkway","Katolik","Cerai","Central Factors Supervisor","Indonesia"
"3273043011597346","Cody Byer","Mantefort","1959-11-30","Laki-laki","AB","157 Heather Close","Hindu","Belum Menikah","Lead Branding Planner","Indonesia"
"3273040706915201","R4nd4ll Sp1nk4","Candicehaven","1991-06-06","Laki-laki","O","1587 Bechtelar Extensions","Kong Hu Cu","Menikah","Corporate Quality Manager","Indonesia"
"3273041408983968","Vivian Orn","South Jordan","1998-08-13","Laki-laki","AB","22470 Carole Islands","Buddha","Belum Menikah","Customer Configuration Coordinator","Indonesia"
"3273042009591429","Wade Bailey","Arturoville","1959-09-19","Laki-laki","A","264 Kenyatta Lights","Hindu","Menikah","Customer Solutions Officer","Indonesia"
"3273041703707554","Melvin Blick","New Estelton","1970-03-16","Laki-laki","AB","97282 Senger Common","Buddha","Belum Menikah","Principal Communications Consultant","Indonesia"
"3273042001735178","Doreen Smith","Reichertboro","1973-01-20","Laki-laki","B","40903 Angelita Key","Buddha","Belum Menikah","Central Infrastructure Engineer","Indonesia"
"3273041402673892","mR. HowarD gibsoN","Xzavierboro","1967-02-13","Laki-laki","B","911 Abbey Road","Katolik","Belum Menikah","Internal Accounts Architect","Indonesia"
"3273046712803542","Beth Kling","Susantown","1980-12-27","Perempuan","O","81040 Adela Garden","Islam","Belum Menikah","Future Tactics Engineer","Indonesia"
"3273041303895093","L154 Gr1m35 II","Bedford","1989-03-13","Laki-laki","AB","27734 Hillside Road","Kristen","Belum Menikah","Central Communications Developer","Indonesia"
"3273047005635938","Sandra Waters","Lake Janice","1963-05-30","Perempuan","A","23452 Collins Manors","Kong Hu Cu","Menikah","Human Response Orchestrator","Indonesia"
"3273040211022578","aLbERto pfefFer","Hackensack","2002-11-01","Laki-laki","O","785 Gustave Shoals","Katolik","Belum Menikah","Internal Identity Producer","Indonesia"
"3273042404829455","Lawrenc Lind","Palm Harbor","1982-04-23","Laki-laki","AB","31383 Jakubowski Manors","Katolik","Cerai","Internal Program Officer","Indonesia"
