"NIK","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","golongan_darah","alamat","agama","status_perkawinan","pekerjaan","kewarganegaraan"
"3273041101747880","Tony Okuneva","Lake Bridgette","1974-01-10","Laki-laki","AB","911 Kozey Spur","Hindu","Belum Menikah","Dynamic Operations Executive","Indonesia"
"3273044902964368","Enrique Quigley","Delphiamouth","1996-02-08","Perempuan","B","91627 Berneice Union","Hindu","Cerai","Dynamic Directives Agent","Indonesia"
"3273041605679854","Cary Lubowitz","New Wendellchester","1967-05-16","Laki-laki","AB","73144 Meadow Drive","Kong Hu Cu","Cerai","Principal Division Administrator","Indonesia"
"3273041204865489","Courtney Hettinger","Port Cordieport","1986-04-12","Laki-laki","AB","295 Stoney Lane","Kristen","Cerai","Customer Paradigm Designer","Indonesia"
"3273040911749334","Margie Franecki III","New Cora","1974-11-09","Laki-laki","B","796 S Franklin Street","Islam","Menikah","Legacy Branding Consultant","Indonesia"
"3273041609041105","Rickey Altenwerth-Abshire MD","Torpside","2004-09-16","Laki-laki","B","473 N Oak Street","Katolik","Cerai","Future Configuration Supervisor","Indonesia"
"3273040109655319","Katherine Durgan","Vandervorthaven","1965-09-01","Laki-laki","AB","63865 Bernadine Groves","Hindu","Belum Menikah","District Branding Coordinator","Indonesia"
"3273040204593602","Dr. Don Murphy","Lake Eunice","1959-04-01","Laki-laki","AB","97684 Stiedemann Walk","Buddha","Menikah","Internal Functionality Representative","Indonesia"
"3273040106007143","Billie Rutherford-Moen","Heidenreichbury","2000-06-01","Laki-laki","B","1868 Karlie Dam","Katolik","Belum Menikah","National Operations Engineer","Indonesia"
"3273040608025254","Mona Gerlach","Altoona","2002-08-05","Laki-laki","A","3493 S 7th Street","Buddha","Belum Menikah","Senior Operations Administrator","Indonesia"
"3273042508904427","Gwen Goyette","North Aurelie","1990-08-25","Laki-laki","A","66532 1st Avenue","Katolik","Cerai","District Infrastructure Manager","Indonesia"
"3273040505035656","Mercedes Satterfield","Wymanfield","2003-05-05","Laki-laki","A","5028 Boundary Road","Hindu","Belum Menikah","Investor Integration Coordinator","Indonesia"
"3273045202028359","Max Labadie","East Niaville","2002-02-12","Perempuan","B","23489 Willow Drive","Katolik","Belum Menikah","Product Marketing Administrator","Indonesia"
"3273040708821768","Jessie Carroll","Luefurt","1982-08-07","Laki-laki","O","462 Thiel Green","Hindu","Belum Menikah","Corporate Tactics Director","Indonesia"
