"berkas_citra","nama"
"1__M_Left_index_finger.BMP","Tony Okuneva"
"1__M_Left_little_finger.BMP","Tony Okuneva"
"1__M_Left_middle_finger.BMP","Tony Okuneva"
"1__M_Left_ring_finger.BMP","Tony Okuneva"
"1__M_Left_thumb_finger.BMP","Tony Okuneva"
"1__M_Right_index_finger.BMP","Tony Okuneva"
"1__M_Right_little_finger.BMP","Tony Okuneva"
"1__M_Right_middle_finger.BMP","Tony Okuneva"
"1__M_Right_ring_finger.BMP","Tony Okuneva"
"1__M_Right_thumb_finger.BMP","Tony Okuneva"
"2__F_Left_index_finger.BMP","Enrique Quigley"
"2__F_Left_little_finger.BMP","Enrique Quigley"
"2__F_Left_middle_finger.BMP","Enrique Quigley"
"2__F_Left_ring_finger.BMP","Enrique Quigley"
"2__F_Left_thumb_finger.BMP","Enrique Quigley"
"2__F_Right_index_finger.BMP","Enrique Quigley"
"2__F_Right_little_finger.BMP","Enrique Quigley"
"2__F_Right_middle_finger.BMP","Enrique Quigley"
"2__F_Right_ring_finger.BMP","Enrique Quigley"
"2__F_Right_thumb_finger.BMP","Enrique Quigley"
"3__M_Left_index_finger.BMP","Cary Lubowitz"
"3__M_Left_little_finger.BMP","Cary Lubowitz"
"3__M_Left_middle_finger.BMP","Cary Lubowitz"
"3__M_Left_ring_finger.BMP","Cary Lubowitz"
"3__M_Left_thumb_finger.BMP","Cary Lubowitz"
"3__M_Right_index_finger.BMP","Cary Lubowitz"
"3__M_Right_little_finger.BMP","Cary Lubowitz"
"3__M_Right_middle_finger.BMP","Cary Lubowitz"
"3__M_Right_ring_finger.BMP","Cary Lubowitz"
"3__M_Right_thumb_finger.BMP","Cary Lubowitz"
"4__M_Left_index_finger.BMP","Courtney Hettinger"
"4__M_Left_little_finger.BMP","Courtney Hettinger"
"4__M_Left_middle_finger.BMP","Courtney Hettinger"
"4__M_Left_ring_finger.BMP","Courtney Hettinger"
"4__M_Left_thumb_finger.BMP","Courtney Hettinger"
"4__M_Right_index_finger.BMP","Courtney Hettinger"
"4__M_Right_little_finger.BMP","Courtney Hettinger"
"4__M_Right_middle_finger.BMP","Courtney Hettinger"
"4__M_Right_ring_finger.BMP","Courtney Hettinger"
"4__M_Right_thumb_finger.BMP","Courtney Hettinger"
"5__M_Left_index_finger.BMP","Margie Franecki III"
"5__M_Left_little_finger.BMP","Margie Franecki III"
"5__M_Left_middle_finger.BMP","Margie Franecki III"
"5__M_Left_ring_finger.BMP","Margie Franecki III"
"5__M_Left_thumb_finger.BMP","Margie Franecki III"
"5__M_Right_index_finger.BMP","Margie Franecki III"
"5__M_Right_little_finger.BMP","Margie Franecki III"
"5__M_Right_middle_finger.BMP","Margie Franecki III"
"5__M_Right_ring_finger.BMP","Margie Franecki III"
"5__M_Right_thumb_finger.BMP","Margie Franecki III"
"6__M_Left_index_finger.BMP","Rickey Altenwerth-Abshire MD"
